Booking ID,Customer ID,Booking Date,Check-in Date,Check-out Date,Booking Platform,Payment Method,Loyalty Membership Status,Room Type,Booking Amount,Discount Applied,Cancellation Status
BK00047,CUST7866,2024-03-24,2024-04-10,2024-04-17,Mobile App,PayPal,Ambassador,Deluxe,1386.89,0,Yes
BK00048,CUST3607,2024-03-28,2024-04-22,2024-04-24,Website,Bank Transfer,Ambassador,Standard,777.35,5,No
BK00049,CUST3826,2024-02-19,2024-02-24,2024-02-29,Website,Bank Transfer,Titanium,Presidential Suite,1334.75,10,No
BK00050,CUST1042,2024-01-02,2024-01-20,2024-01-23,Website,Bank Transfer,Platinum,Standard,863.59,20,Yes
BK00051,CUST9384,2024-01-31,2024-02-22,2024-02-28,Third-Party OTA,Credit Card,Titanium,Deluxe,413.42,25,Yes
BK00052,CUST3416,2024-01-20,2024-01-22,2024-01-27,Mobile App,PayPal,Platinum,Presidential Suite,570.36,15,No
BK00053,CUST8973,2024-03-12,2024-03-29,2024-04-04,Website,Bank Transfer,Titanium,Standard,599.59,25,No
BK00054,CUST7005,2024-03-27,2024-04-10,2024-04-13,Third-Party OTA,Credit Card,Titanium,Presidential Suite,885.59,20,Yes
BK00055,CUST4595,2024-02-07,2024-03-07,2024-03-08,Website,Credit Card,Silver,Deluxe,1095.8,5,Yes
BK00056,CUST2862,2024-01-09,2024-02-03,2024-02-06,Website,Bank Transfer,Ambassador,Presidential Suite,807.27,20,Yes
BK00057,CUST3939,2024-03-07,2024-03-30,2024-04-04,Website,Bank Transfer,Non-Member,Presidential Suite,1294.18,0,Yes
BK00058,CUST2249,2024-01-29,2024-02-03,2024-02-11,Mobile App,Bank Transfer,Silver,Suite,1409.73,5,No
BK00059,CUST6836,2024-03-10,2024-03-12,2024-03-17,Mobile App,PayPal,Non-Member,Standard,301.74,20,No
BK00060,CUST7224,2024-03-08,2024-03-29,2024-04-04,Mobile App,Credit Card,Ambassador,Deluxe,826.06,5,No
BK00061,CUST4389,2024-02-23,2024-03-11,2024-03-19,Mobile App,Bank Transfer,Non-Member,Suite,980.06,5,No
BK00062,CUST9867,2024-02-05,2024-02-22,2024-02-27,Third-Party OTA,PayPal,Non-Member,Deluxe,1461.83,10,No
BK00063,CUST1737,2024-03-08,2024-03-21,2024-03-31,Third-Party OTA,PayPal,Silver,Suite,1027.8,5,No
BK00064,CUST5937,2024-01-27,2024-02-11,2024-02-12,Mobile App,Bank Transfer,Platinum,Presidential Suite,1338.07,0,Yes
BK00065,CUST3473,2024-03-09,2024-03-23,2024-03-24,Third-Party OTA,Credit Card,Ambassador,Standard,1345.61,25,No
BK00066,CUST8550,2024-02-28,2024-03-26,2024-03-30,Website,Points Redemption,Titanium,Presidential Suite,291.49,25,Yes
BK00067,CUST5327,2024-02-02,2024-02-03,2024-02-07,Website,Points Redemption,Silver,Deluxe,1091.15,20,No
BK00068,CUST1937,2024-03-23,2024-03-29,2024-03-30,Mobile App,Points Redemption,Titanium,Presidential Suite,1099.6,20,No
BK00069,CUST7862,2024-01-16,2024-02-15,2024-02-17,Website,PayPal,Non-Member,Suite,1223.21,15,Yes
BK00070,CUST9828,2024-02-15,2024-02-24,2024-02-27,Mobile App,Credit Card,Titanium,Presidential Suite,137.54,15,Yes
BK00071,CUST4182,2024-01-25,2024-02-07,2024-02-12,Mobile App,Credit Card,Silver,Standard,411.62,20,No
BK00072,CUST7698,2024-03-26,2024-04-22,2024-04-23,Website,Points Redemption,Gold,Suite,995.27,0,No
BK00073,CUST2003,2024-02-25,2024-02-26,2024-03-03,Mobile App,PayPal,Titanium,Standard,697.57,5,No
BK00074,CUST4252,2024-02-28,2024-03-11,2024-03-14,Third-Party OTA,PayPal,Non-Member,Suite,1027.05,5,Yes
BK00075,CUST9206,2024-03-31,2024-04-07,2024-04-15,Third-Party OTA,PayPal,Platinum,Deluxe,1115.43,5,No
BK00076,CUST4531,2024-02-08,2024-03-01,2024-03-08,Third-Party OTA,Bank Transfer,Titanium,Suite,990.36,5,Yes
BK00077,CUST9253,2024-03-06,2024-03-09,2024-03-14,Third-Party OTA,PayPal,Titanium,Suite,571.21,25,No
BK00078,CUST3119,2024-03-16,2024-04-11,2024-04-21,Website,Points Redemption,Platinum,Presidential Suite,944.24,5,No
BK00079,CUST9465,2024-01-05,2024-01-09,2024-01-18,Third-Party OTA,Credit Card,Non-Member,Deluxe,1332.97,15,Yes
BK00080,CUST8395,2024-02-10,2024-02-23,2024-03-02,Third-Party OTA,PayPal,Silver,Presidential Suite,1423.91,20,No
BK00081,CUST5400,2024-02-07,2024-03-01,2024-03-10,Website,Bank Transfer,Silver,Deluxe,1277.61,5,No
BK00082,CUST1078,2024-01-14,2024-01-23,2024-01-24,Website,Bank Transfer,Titanium,Presidential Suite,863.66,20,No
BK00083,CUST1924,2024-02-20,2024-03-18,2024-03-19,Third-Party OTA,PayPal,Ambassador,Standard,343.87,25,No
BK00084,CUST8762,2024-01-24,2024-02-17,2024-02-26,Third-Party OTA,PayPal,Gold,Deluxe,515.4,15,No
BK00085,CUST3663,2024-02-06,2024-02-23,2024-02-24,Third-Party OTA,Points Redemption,Titanium,Deluxe,182.41,5,No
BK00086,CUST2210,2024-03-13,2024-03-14,2024-03-21,Website,PayPal,Non-Member,Deluxe,514.92,15,Yes
BK00087,CUST3307,2024-02-09,2024-02-15,2024-02-21,Website,Points Redemption,Ambassador,Standard,358.17,20,Yes
BK00088,CUST9101,2024-01-24,2024-02-15,2024-02-17,Website,Points Redemption,Titanium,Presidential Suite,1085.48,0,No
BK00089,CUST9021,2024-03-24,2024-04-22,2024-04-23,Mobile App,PayPal,Gold,Standard,1171.49,5,Yes
BK00090,CUST4590,2024-03-12,2024-03-22,2024-03-28,Third-Party OTA,Credit Card,Ambassador,Suite,1301.18,15,No
BK00091,CUST3236,2024-02-26,2024-02-28,2024-03-03,Website,Bank Transfer,Titanium,Standard,685.1,25,No
BK00092,CUST7164,2024-01-09,2024-01-18,2024-01-22,Mobile App,Bank Transfer,Ambassador,Suite,215.35,0,No
BK00093,CUST4171,2024-02-20,2024-03-06,2024-03-11,Third-Party OTA,Points Redemption,Platinum,Suite,574.77,20,Yes
BK00094,CUST4412,2024-01-12,2024-01-18,2024-01-24,Third-Party OTA,PayPal,Titanium,Standard,842.59,5,No
BK00095,CUST2587,2024-01-31,2024-02-20,2024-02-29,Mobile App,Credit Card,Platinum,Deluxe,1178.2,15,No
BK00096,CUST3840,2024-03-01,2024-03-08,2024-03-16,Mobile App,PayPal,Silver,Deluxe,790.42,15,Yes
BK00097,CUST8730,2024-01-11,2024-01-23,2024-01-28,Website,Bank Transfer,Gold,Deluxe,1071.67,25,Yes
BK00098,CUST8477,2024-03-09,2024-04-08,2024-04-11,Website,PayPal,Ambassador,Presidential Suite,215.85,0,No
BK00099,CUST9975,2024-02-15,2024-03-07,2024-03-11,Mobile App,Points Redemption,Ambassador,Presidential Suite,119.1,15,Yes
BK00100,CUST9205,2024-01-19,2024-01-31,2024-02-07,Website,PayPal,Ambassador,Presidential Suite,183.71,20,Yes
BK00101,CUST1982,2024-01-29,2024-02-14,2024-02-23,Website,Credit Card,Silver,Deluxe,1336.46,25,No
BK00102,CUST1304,2024-03-25,2024-04-21,2024-04-25,Mobile App,Bank Transfer,Titanium,Presidential Suite,1046.37,10,No
BK00103,CUST3855,2024-02-05,2024-02-07,2024-02-09,Third-Party OTA,Credit Card,Platinum,Deluxe,148.47,10,No
BK00104,CUST1752,2024-03-24,2024-04-05,2024-04-10,Third-Party OTA,Bank Transfer,Gold,Suite,585.65,20,No
BK00105,CUST5930,2024-01-24,2024-02-22,2024-02-28,Third-Party OTA,Bank Transfer,Titanium,Deluxe,807.57,5,No
BK00106,CUST4272,2024-02-16,2024-03-17,2024-03-22,Third-Party OTA,Points Redemption,Ambassador,Presidential Suite,770.42,15,Yes
BK00107,CUST7917,2024-02-24,2024-03-24,2024-03-25,Website,PayPal,Platinum,Standard,1166.13,25,Yes
BK00108,CUST6463,2024-02-18,2024-02-21,2024-03-01,Mobile App,Credit Card,Titanium,Deluxe,1272.79,15,Yes
BK00109,CUST1082,2024-02-10,2024-02-28,2024-03-09,Website,Points Redemption,Gold,Suite,378.33,20,No
BK00110,CUST2226,2024-03-11,2024-03-23,2024-03-25,Third-Party OTA,Credit Card,Ambassador,Presidential Suite,1230.72,0,Yes
BK00111,CUST7888,2024-03-09,2024-04-07,2024-04-08,Website,PayPal,Gold,Suite,1072.76,10,Yes
BK00112,CUST9676,2024-03-20,2024-03-26,2024-03-27,Website,Points Redemption,Gold,Deluxe,1370.83,25,No
BK00113,CUST5370,2024-02-02,2024-02-05,2024-02-07,Mobile App,Points Redemption,Titanium,Suite,1315.11,15,No
BK00114,CUST4359,2024-02-19,2024-03-17,2024-03-23,Mobile App,Credit Card,Gold,Suite,425.98,0,No
BK00115,CUST7957,2024-02-12,2024-02-23,2024-03-03,Website,Credit Card,Ambassador,Suite,514.8,10,No
BK00116,CUST6777,2024-03-17,2024-03-30,2024-04-08,Third-Party OTA,PayPal,Platinum,Standard,1089.07,0,No
BK00117,CUST8334,2024-01-31,2024-02-03,2024-02-04,Third-Party OTA,PayPal,Ambassador,Presidential Suite,645.33,15,Yes
BK00118,CUST6672,2024-03-11,2024-03-24,2024-04-01,Website,PayPal,Ambassador,Deluxe,227.88,0,Yes
BK00119,CUST1053,2024-02-14,2024-03-07,2024-03-17,Website,Bank Transfer,Gold,Standard,1047.53,15,Yes
BK00120,CUST4957,2024-01-10,2024-02-07,2024-02-12,Third-Party OTA,PayPal,Ambassador,Standard,573.98,0,Yes
BK00121,CUST7942,2024-03-02,2024-03-04,2024-03-09,Mobile App,Credit Card,Non-Member,Deluxe,447.67,25,Yes
BK00122,CUST2234,2024-03-09,2024-03-17,2024-03-27,Third-Party OTA,PayPal,Non-Member,Suite,1446.02,25,No
BK00123,CUST5135,2024-01-27,2024-02-23,2024-02-27,Third-Party OTA,Bank Transfer,Platinum,Standard,244.77,15,Yes
BK00124,CUST7369,2024-03-10,2024-04-01,2024-04-07,Third-Party OTA,PayPal,Non-Member,Suite,418.43,10,Yes
BK00125,CUST7790,2024-02-21,2024-03-21,2024-03-30,Third-Party OTA,Bank Transfer,Silver,Presidential Suite,483.87,25,Yes
BK00126,CUST2922,2024-02-25,2024-03-07,2024-03-13,Third-Party OTA,PayPal,Non-Member,Deluxe,1454.41,25,Yes
BK00127,CUST5414,2024-01-29,2024-02-07,2024-02-12,Mobile App,Points Redemption,Ambassador,Standard,1342.28,0,Yes
BK00128,CUST7602,2024-01-25,2024-02-10,2024-02-12,Website,PayPal,Non-Member,Standard,269.2,15,No
BK00129,CUST4954,2024-01-15,2024-02-08,2024-02-17,Website,Credit Card,Titanium,Presidential Suite,1005.82,10,No
BK00130,CUST7199,2024-03-17,2024-04-13,2024-04-16,Third-Party OTA,Points Redemption,Ambassador,Standard,372.43,15,No
BK00131,CUST3249,2024-01-11,2024-01-16,2024-01-26,Mobile App,PayPal,Ambassador,Deluxe,574.17,15,No
BK00132,CUST4513,2024-02-14,2024-03-13,2024-03-23,Third-Party OTA,Points Redemption,Non-Member,Standard,222.51,0,Yes
BK00133,CUST9988,2024-01-13,2024-02-04,2024-02-10,Mobile App,PayPal,Silver,Standard,671.46,25,No
BK00134,CUST4651,2024-03-13,2024-03-14,2024-03-21,Mobile App,PayPal,Non-Member,Standard,1091.0,20,Yes
BK00135,CUST9192,2024-03-18,2024-04-09,2024-04-19,Third-Party OTA,Points Redemption,Ambassador,Standard,1497.98,0,Yes
BK00136,CUST9752,2024-02-03,2024-02-28,2024-03-02,Mobile App,Points Redemption,Gold,Suite,776.77,0,No
BK00137,CUST8770,2024-01-03,2024-01-05,2024-01-15,Third-Party OTA,Points Redemption,Titanium,Standard,576.01,0,Yes
BK00138,CUST3572,2024-01-04,2024-01-05,2024-01-07,Mobile App,Points Redemption,Gold,Standard,1074.04,10,No
BK00139,CUST3056,2024-01-05,2024-02-03,2024-02-06,Website,Credit Card,Titanium,Presidential Suite,1107.73,5,No
BK00140,CUST4846,2024-01-30,2024-02-27,2024-03-02,Website,PayPal,Non-Member,Deluxe,189.15,0,No
BK00141,CUST3189,2024-02-07,2024-03-01,2024-03-02,Mobile App,PayPal,Platinum,Deluxe,586.81,5,No
BK00142,CUST5408,2024-01-21,2024-02-05,2024-02-11,Mobile App,Bank Transfer,Silver,Presidential Suite,273.16,20,No
BK00143,CUST9424,2024-01-22,2024-02-10,2024-02-17,Third-Party OTA,Bank Transfer,Silver,Standard,1474.49,20,Yes
BK00144,CUST9111,2024-03-27,2024-04-22,2024-05-01,Mobile App,Bank Transfer,Platinum,Presidential Suite,968.94,25,No
BK00145,CUST1381,2024-01-10,2024-01-21,2024-01-24,Third-Party OTA,Points Redemption,Titanium,Presidential Suite,1183.14,10,No
BK00146,CUST4701,2024-02-27,2024-03-27,2024-03-30,Third-Party OTA,Credit Card,Non-Member,Presidential Suite,943.23,15,Yes
BK00147,CUST2169,2024-02-09,2024-03-05,2024-03-13,Third-Party OTA,Bank Transfer,Gold,Deluxe,384.12,20,No
BK00148,CUST9900,2024-03-20,2024-04-19,2024-04-25,Mobile App,Bank Transfer,Gold,Presidential Suite,796.63,0,Yes
BK00149,CUST9759,2024-01-18,2024-01-31,2024-02-08,Third-Party OTA,Credit Card,Silver,Deluxe,1227.14,15,No
BK00150,CUST7508,2024-03-24,2024-04-05,2024-04-15,Mobile App,Points Redemption,Titanium,Standard,1037.51,0,No
BK00151,CUST2673,2024-03-26,2024-04-16,2024-04-24,Mobile App,Credit Card,Silver,Standard,981.11,20,Yes
BK00152,CUST8323,2024-01-26,2024-02-19,2024-02-26,Website,Bank Transfer,Ambassador,Standard,1232.91,5,Yes
BK00153,CUST8255,2024-03-30,2024-04-04,2024-04-10,Website,Points Redemption,Ambassador,Deluxe,465.06,20,No
BK00154,CUST6015,2024-02-01,2024-02-14,2024-02-23,Mobile App,PayPal,Silver,Standard,549.1,10,No
BK00155,CUST3634,2024-02-21,2024-03-20,2024-03-28,Website,Credit Card,Platinum,Deluxe,1172.74,20,No
BK00156,CUST1623,2024-03-04,2024-03-20,2024-03-26,Mobile App,Points Redemption,Gold,Suite,1391.11,15,No
BK00157,CUST5971,2024-03-05,2024-03-25,2024-04-04,Third-Party OTA,Bank Transfer,Ambassador,Standard,1489.97,25,Yes
BK00158,CUST7300,2024-02-09,2024-02-25,2024-02-29,Website,Points Redemption,Non-Member,Deluxe,625.06,5,Yes
BK00159,CUST3726,2024-02-12,2024-02-23,2024-02-28,Mobile App,Points Redemption,Gold,Suite,665.56,5,Yes
BK00160,CUST5108,2024-03-04,2024-04-01,2024-04-10,Mobile App,Points Redemption,Ambassador,Presidential Suite,264.33,10,Yes
BK00161,CUST2119,2024-02-15,2024-02-20,2024-03-01,Website,Points Redemption,Silver,Standard,101.2,10,Yes
BK00162,CUST5672,2024-01-12,2024-02-04,2024-02-10,Website,PayPal,Titanium,Presidential Suite,1152.41,20,No
BK00163,CUST5632,2024-02-07,2024-02-23,2024-03-04,Mobile App,Points Redemption,Titanium,Deluxe,982.34,5,Yes
BK00164,CUST4691,2024-03-29,2024-04-21,2024-04-25,Third-Party OTA,Bank Transfer,Non-Member,Deluxe,1003.29,20,Yes
BK00165,CUST4849,2024-02-23,2024-03-07,2024-03-16,Website,Credit Card,Silver,Presidential Suite,169.96,0,No
BK00166,CUST2298,2024-01-19,2024-01-25,2024-01-31,Website,Points Redemption,Platinum,Deluxe,189.48,10,No
BK00167,CUST6718,2024-03-09,2024-03-19,2024-03-29,Third-Party OTA,PayPal,Ambassador,Deluxe,961.74,10,Yes
BK00168,CUST4014,2024-01-06,2024-01-07,2024-01-16,Website,Points Redemption,Gold,Deluxe,657.19,10,No
BK00169,CUST2286,2024-01-18,2024-01-30,2024-02-06,Mobile App,PayPal,Ambassador,Suite,609.3,25,Yes
BK00170,CUST6251,2024-03-16,2024-03-27,2024-03-31,Website,Points Redemption,Ambassador,Presidential Suite,1284.37,25,No
BK00171,CUST4220,2024-03-12,2024-03-19,2024-03-26,Third-Party OTA,PayPal,Silver,Presidential Suite,1236.61,20,No
BK00172,CUST3494,2024-01-07,2024-01-15,2024-01-24,Website,Points Redemption,Platinum,Standard,377.09,25,Yes
BK00173,CUST7127,2024-01-24,2024-01-28,2024-02-06,Third-Party OTA,Credit Card,Non-Member,Suite,800.48,15,No
BK00174,CUST3972,2024-02-15,2024-03-13,2024-03-22,Website,Bank Transfer,Gold,Deluxe,1051.93,10,No
BK00175,CUST2268,2024-03-08,2024-03-25,2024-03-28,Third-Party OTA,PayPal,Silver,Suite,124.16,5,No
BK00176,CUST4287,2024-03-12,2024-04-10,2024-04-14,Third-Party OTA,Credit Card,Non-Member,Presidential Suite,952.16,15,No
BK00177,CUST9936,2024-03-11,2024-04-02,2024-04-09,Mobile App,Points Redemption,Gold,Standard,164.44,25,No
BK00178,CUST4208,2024-03-09,2024-03-25,2024-04-04,Third-Party OTA,Bank Transfer,Silver,Presidential Suite,1250.98,5,No
BK00179,CUST4140,2024-03-20,2024-04-10,2024-04-12,Website,Credit Card,Platinum,Deluxe,1143.91,0,No
BK00180,CUST2247,2024-03-31,2024-04-25,2024-04-29,Website,Bank Transfer,Titanium,Suite,919.53,0,No
BK00181,CUST7465,2024-03-11,2024-03-13,2024-03-23,Mobile App,Points Redemption,Silver,Presidential Suite,352.45,15,No
BK00182,CUST3565,2024-03-30,2024-04-11,2024-04-17,Mobile App,Credit Card,Silver,Presidential Suite,975.31,10,No
BK00183,CUST8817,2024-01-06,2024-01-17,2024-01-25,Mobile App,PayPal,Titanium,Standard,893.46,0,No
BK00184,CUST9769,2024-01-21,2024-01-31,2024-02-08,Third-Party OTA,Points Redemption,Gold,Standard,483.35,5,Yes
BK00185,CUST6556,2024-03-04,2024-03-11,2024-03-15,Mobile App,PayPal,Silver,Suite,787.96,10,No
BK00186,CUST9178,2024-03-21,2024-03-22,2024-03-24,Mobile App,PayPal,Non-Member,Suite,1007.37,25,Yes
BK00187,CUST1703,2024-02-02,2024-02-23,2024-02-28,Website,Points Redemption,Platinum,Deluxe,466.08,5,No
BK00188,CUST5790,2024-02-25,2024-03-01,2024-03-02,Website,Credit Card,Silver,Suite,128.44,20,No
BK00189,CUST9129,2024-01-17,2024-02-08,2024-02-15,Website,Bank Transfer,Platinum,Deluxe,283.74,15,No
BK00190,CUST2683,2024-02-18,2024-03-13,2024-03-21,Website,Bank Transfer,Titanium,Standard,221.61,25,No
BK00191,CUST4064,2024-02-03,2024-02-09,2024-02-14,Third-Party OTA,Points Redemption,Titanium,Deluxe,1404.46,25,Yes
BK00192,CUST1121,2024-03-29,2024-04-13,2024-04-17,Mobile App,Points Redemption,Ambassador,Suite,176.21,15,No
BK00193,CUST6357,2024-02-01,2024-03-01,2024-03-09,Website,Points Redemption,Gold,Standard,728.04,15,No
BK00194,CUST5236,2024-02-25,2024-03-12,2024-03-15,Mobile App,Points Redemption,Titanium,Presidential Suite,119.65,15,Yes
BK00195,CUST8342,2024-01-18,2024-01-31,2024-02-02,Website,Bank Transfer,Non-Member,Deluxe,711.11,20,No
BK00196,CUST4068,2024-03-20,2024-04-09,2024-04-18,Third-Party OTA,PayPal,Non-Member,Standard,410.71,20,Yes
BK00197,CUST5926,2024-03-01,2024-03-26,2024-03-28,Website,PayPal,Ambassador,Standard,719.93,10,No
BK00198,CUST3014,2024-03-10,2024-03-14,2024-03-20,Mobile App,Credit Card,Non-Member,Suite,836.99,15,No
BK00199,CUST1322,2024-03-06,2024-03-26,2024-03-30,Mobile App,PayPal,Silver,Suite,1074.11,10,No
BK00200,CUST1098,2024-02-17,2024-02-29,2024-03-07,Mobile App,Points Redemption,Non-Member,Suite,1355.02,0,No
BK00201,CUST1773,2024-03-15,2024-04-01,2024-04-10,Mobile App,PayPal,Platinum,Standard,781.58,0,Yes
BK00202,CUST8972,2024-01-21,2024-02-13,2024-02-21,Mobile App,Bank Transfer,Platinum,Presidential Suite,816.08,25,No
BK00203,CUST5334,2024-03-02,2024-03-23,2024-03-27,Mobile App,Bank Transfer,Non-Member,Presidential Suite,793.39,20,No
BK00204,CUST8898,2024-01-04,2024-02-02,2024-02-10,Third-Party OTA,Points Redemption,Titanium,Presidential Suite,1335.65,5,No
BK00205,CUST5577,2024-02-14,2024-03-15,2024-03-22,Third-Party OTA,Credit Card,Silver,Deluxe,1160.12,15,No
BK00206,CUST5353,2024-03-03,2024-03-04,2024-03-06,Third-Party OTA,Bank Transfer,Platinum,Deluxe,721.87,15,Yes
BK00207,CUST2612,2024-01-14,2024-02-10,2024-02-16,Third-Party OTA,Credit Card,Titanium,Deluxe,610.71,15,No
BK00208,CUST8196,2024-02-28,2024-03-26,2024-04-05,Mobile App,Bank Transfer,Platinum,Presidential Suite,1407.86,15,Yes
BK00209,CUST4938,2024-03-26,2024-04-21,2024-04-25,Mobile App,PayPal,Gold,Deluxe,762.23,25,No
BK00210,CUST6361,2024-03-02,2024-03-21,2024-03-25,Website,Points Redemption,Ambassador,Deluxe,1188.54,15,Yes
BK00211,CUST5420,2024-01-22,2024-02-18,2024-02-25,Website,Points Redemption,Gold,Presidential Suite,1300.6,5,Yes
BK00212,CUST5680,2024-01-21,2024-01-23,2024-02-01,Website,Credit Card,Gold,Deluxe,568.04,20,No
BK00213,CUST6721,2024-01-31,2024-02-27,2024-03-06,Third-Party OTA,Bank Transfer,Non-Member,Deluxe,633.85,15,No
BK00214,CUST7388,2024-01-17,2024-01-19,2024-01-20,Third-Party OTA,Bank Transfer,Platinum,Suite,1171.93,10,Yes
